id,title,create_date,likes_count,reposts_count,tracks_count,total_playtime,tags,url
865751271,Lo-Fi Vietnam Chill,10 September 2019,27300,1029,49,2:33:04,"Soundtrack, Soul, Lo-Fi, Acid, Relax, vietnam",https://soundcloud.com/winterhihiihiii/sets/lofi-vietnam-chill
637685136,VIETNAM,5 November 2018,13,1,378,26:48:11,,https://soundcloud.com/kim-h-o-525881205/sets/vietnam
748126755,vietnam,8 April 2019,4,0,377,30:20:28,,https://soundcloud.com/thang-bui-667476417/sets/vietnam
215493136,Vietnam,31 July 2020,1,0,289,26:16:14,,https://soundcloud.com/sammmv/sets/vietnam
549132048,Vietnam,25 November 2019,4,0,271,19:17:59,,https://soundcloud.com/ngan-hoang-810603610/sets/vietnam
886365079,Viet Nam,24 April 2020,4,0,459,33:07:08,,https://soundcloud.com/minh-t-nguy-n-857855647/sets/viet-nam
699967554,vietnam,2 February 2019,15,0,246,17:30:00,,https://soundcloud.com/putabe-cassie/sets/vietnam
167825584,vietnam,22 November 2015,3,0,194,12:37:32,Pop,https://soundcloud.com/hai-phan-25/sets/vietnam
1146079402,Vietnam,15 October 2020,0,0,234,15:54:43,,https://soundcloud.com/duc-anh-17480433/sets/vietnam
627585942,vietnam,21 October 2018,0,0,262,13:56:37,"Hip Hop, Rap",https://soundcloud.com/666manesos/sets/vietnam
,Vietnam,29 February 2020,0,0,217,13:50:16,,https://soundcloud.com/d-ng-l-499378274/sets/new-private-playlist
,Vietnam,12 August 2015,4,0,191,15:18:26,"Pop, Ballad",https://soundcloud.com/phong-ng-17/sets/because-im-blue
227590507,vietnam,25 June 2016,5,1,187,14:13:34,,https://soundcloud.com/thu-n-tr-n-765043597/sets/vietnam
964425946,Vietnam,13 September 2020,0,0,194,13:08:19,,https://soundcloud.com/hoang-anh-tran-5/sets/vietnam
957749314,vietnam,21 December 2020,2,1,210,12:54:57,,https://soundcloud.com/user-272406262/sets/vietnam
1167544315,VIETNAM,24 November 2020,0,0,201,10:35:17,,https://soundcloud.com/carl-mcgrath-550915463/sets/vietnam
566895675,Vietnam,23 July 2018,0,0,216,13:10:34,,https://soundcloud.com/yanek-babilya/sets/vietnam
674218878,Vietnam,11 November 2020,0,0,188,13:02:33,,https://soundcloud.com/user-307033739/sets/vietnam
689953770,Vietnam,20 January 2019,4,0,181,12:58:26,,https://soundcloud.com/anh-ki-u-375698252/sets/vietnam
222439278,Vietnam,16 June 2016,8,1,163,12:48:14,,https://soundcloud.com/hieu-duy-nguyen/sets/vietnam
164019163,vietnam,10 November 2015,0,1,63,77:53:06,"Electronic, Electro, House, Electro House, EDWARDSG",https://soundcloud.com/davidchay/sets/vietnam
341917467,vietnam,1 August 2017,0,0,1,4:12,,https://soundcloud.com/ho-ng-ti-n-kento/sets/vietnam
780973611,Vietnam,17 May 2019,0,0,166,12:25:05,,https://soundcloud.com/user-858122032/sets/vietnam
48905152,vietnam,30 August 2014,1,0,129,9:59:19,,https://soundcloud.com/user986792522/sets/vietnam
1188708796,VIỆT NAM,19 July 2021,0,0,205,12:35:11,,https://soundcloud.com/twinkle1tinker/sets/vi-t-nam
,Vietnam,20 January 2017,2,0,136,8:54:00,"Pop, Dance Pop",https://soundcloud.com/mitch-sabido/sets/vietnam
304773596,Vietnam,6 March 2017,2,0,132,7:58:30,,https://soundcloud.com/jinngyn/sets/vietnam-1
1118686306,𝒗𝒊𝒆𝒕𝒏𝒂𝒎,28 August 2020,0,0,146,9:47:18,,https://soundcloud.com/c-m-duy-n-410864805/sets/vietnam
845421668,việt nam,12 August 2019,0,0,244,16:43:08,,https://soundcloud.com/ti-n-l-89271103/sets/vi-t-nam
,VietNam,18 October 2021,0,0,132,10:18:28,,https://soundcloud.com/tung-lai-863241260/sets/vietnam
298023410,Vietnam,7 February 2017,4,0,127,9:25:32,,https://soundcloud.com/cong-le-854353771/sets/new-private-playlist
1094180575,Vietnam,18 July 2020,1,0,153,9:03:03,,https://soundcloud.com/user-326420686/sets/vietnam
334584767,vietnam,1 July 2017,0,0,120,12:44:48,"Electronic, Ambient, House, Deep House, Downtempo",https://soundcloud.com/multijenk/sets/vietnam
890017987,Vietnam,25 June 2020,0,0,134,8:44:25,,https://soundcloud.com/duc-anh-116990236/sets/vietnam
319721835,Vietnam,12 August 2018,0,1,132,10:16:25,,https://soundcloud.com/ph-c-tr-n-905056433/sets/vietnam
362803235,vietnam,26 October 2017,1,0,160,12:17:19,,https://soundcloud.com/user344140671/sets/vietnam
315357333,Vietnam,23 November 2017,0,0,113,8:01:28,,https://soundcloud.com/winnie-chan-652347516/sets/vietnam
916535812,Vietnam,19 December 2019,0,1,129,7:43:18,,https://soundcloud.com/linh-xu-55542537/sets/vietnam
1287432517,vietnam,16 July 2021,1,0,127,7:53:13,,https://soundcloud.com/to-n-nguy-n-975463023/sets/vietnam
998241901,Vietnam,9 August 2020,1,0,121,7:46:31,,https://soundcloud.com/kim-khanh-148199293/sets/vietnam
820306377,vietnam,7 July 2019,0,0,136,8:58:14,,https://soundcloud.com/mai-v-686062993/sets/vietnam
623478468,Vietnam,25 August 2020,0,0,110,12:06:16,,https://soundcloud.com/do-tran-que-anh/sets/vietnam
