id,title,upload_date,plays_count,likes_count,reposts_count,comments_count,tags,url
677922615,Đi đâu chẳng thấy - Summer Vee,8 September 2019,2136790,29882,721,1187,Indie,https://soundcloud.com/hueninh2012/di-dau-chang-thay-summer-vee
674121842,Ai biết - WEAN,1 September 2019,6518839,58974,1949,916,,https://soundcloud.com/nguyen-pham-phuong-anh-919045202/wean-ai-biet
594037416,Nhỏ trên hạnh phúc...,22 March 2019,514811,3798,79,113,Lo-Fi,https://soundcloud.com/chris-hoang-764539027/nho-tren-hanh-phuc
413588520,Kina - get you the moon (ft. Snow),14 March 2018,56632462,795341,18111,21955,"Indie, love",https://soundcloud.com/kinabeats/kina-get-you-the-moon-ft-snow
432981996,First Date (out on spotify),21 April 2018,3491696,49238,1593,1801,"<3, lofi, Hip-hop &Rap, cute, jazz, kawaii, depression",https://soundcloud.com/fradical/first-date
341131772,Yêu Như Ngày Yêu Cuối - Mai Tiến Dũng,6 September 2017,3739396,26524,1114,182,"Nhạc Trẻ, Yêu như ngày yêu cuối, Yeu nhu ngay yeu cuoi, mai tien dung, toan april",https://soundcloud.com/to-n-april/yeu-nhu-ngay-yeu-cuoi-mai-tien-dung
103496372,Mỹ Tâm - Gởi Tình Yêu Của Em (LETTER TO MY LOVE),1 August 2013,170597,1109,114,3,Pop,https://soundcloud.com/fanclubmytam/m-t-m-g-i-t-nh-y-u-c-a-em
161884576,Thế giới mất đi một người - Eddie,6 August 2014,337514,2419,230,31,Demo,https://soundcloud.com/huyinox/the-gioi-mat-di-mot-nguoi-eddie
265696410,THẾ GIỚI MẤT ĐI MỘT NGƯỜI- TĂNG PHÚC (cover),24 May 2016,837035,7390,350,40,"TANGPHUC, COVER, THEGIOIMATDIMOTNGUOI, LUNGCHUNGNUOCMAT, Acoustic",https://soundcloud.com/zengwu/the-gioi-mat-di-mot-nguoi-tang-phuc-cover
566435523,Chờ Ngày Anh Nhận Ra Em - Thùy Chi - Mối Tình Đầu Của Tôi OST,29 January 2019,81560,499,33,4,,https://soundcloud.com/hannyygar/cho-ngay-anh-nhan-ra-em-thuy-chi-moi-tinh-dau-cua-toi-ost
