user_id,full_name,username,followers_count,track_count,country_code,verified
14024707,,krovostok (18+),9530,28,,False
306446354,,JAGGER,227,19,,False
6160405,val,ZOD1AC,2437,98,,True
60424215,Syed Raza,Syed Saad Raza,218,4,PK,False
208011305,,Breezy,98,218,,False
68288553,carlos dj,carlos dj@sabor,165,22,CO,False
852623434,Adrian Lagunas,Adrian Lagunas Promo,1430,14,MX,False
7209039,LibertyQ Blues & Jazz,Liberty Q,1571,18,,False
59113552,,Quex,1022,30,,False
1966175,kamome sano,kamome sano / Limonène,18445,107,JP,False
131169,,ealzee,267,3,,False
7864422,Corey Hart,coreyhart,431,143,ES,False
937033831,,ميوزك برودكشن - Music Production,2849,2,,False
19136618,,aLee DJ,10583,52,AR,True
208011371,,Livin' Joy,342,32,,False
116523118,,shadi samy,713,27,,False
113901686,,KetchupTown,32,10,,False
3014783,Mateus Ribeiro,matrancer,41,10,BR,False
70123648,,Dark Set Listen,432,1,,False
3014784,,Brothertiger,14175,39,,True
208011394,,Roger Cicero,279,241,,False
2621571,foue ben youssef,foued musicmaster,200,12,TN,False
8913024,La Renken,La Renken,944,36,PE,False
20971653,Emily Hackett,Emily Hackett Music,1575,27,US,False
61735067,Anthony Nguyen,Sneakyyy,238,25,US,False
112853148,Ahmed Etman,Ahmed Etman 42,21,2,,False
1048739,Frightened Rabbit,Frightened Rabbit,4770948,196,,True
3014820,BÄR EBM,BÄR EBM,129,4,DE,False
31326374,,nmazhar,43,7,,False
171,,Daniel Haaksman,32778,169,DE,True
195952814,,KARAT METAL OFFICIAL,58,2,,False
187,Frank Wiedemann,ame / frank wiedemann,333403,26,DE,True
30015677,Sara Josephine,Sara Josephine,9,3,US,False
7864509,dj tusso,TUSSO OFFICIAL,13887,61,CO,False
46399678,Hugo Lobo,H. Lobo,119,72,AR,False
203,Adam Beyer,adambeyer,509686,478,SE,True
13631693,Joe Ross Riggs,Stingray Thompson,138,52,US,False
2097360,Foo Fighters,Foo Fighters,1622004,257,US,True
213,Christian Prommer,ChristianPrommer,32695,161,DE,True
215,,Innervisions,230350,348,DE,True
18350299,,Superstaar Beats,19297,275,US,False
74318047,,pr0metheus-BG,254,24,BG,False
7340256,Tanya Lacey,TanyaLacey,11734,10,GB,False
3145954,Jon Bryant,jonrbryantmusic,980,15,CA,False
262372,Tyler,Stickybuds,74418,111,CA,True
2359538,Music & Video Producer,Grant McCauley,1908,64,CA,False
93585668,,Sara Landry,7313,28,US,True
23462157,Marie Guigue,Marie Guigue,39,4,,False
2621712,Julius,Jul_us,531,3,DE,False
2752784,,TheUndercoverDreamLovers,2168,37,US,True
81133846,DJ Replay M,Replay M,11425,80,CH,True
10879257,,Farqad,379,18,,False
9175323,Tina Shin,singing-lemon-seed,74,20,KR,False
524584,,Rebz,1281,78,GB,False
655658,Santo Adriano | be Kind.,Santo Adriano,4749,74,AR,True
3146044,edwin joaquin,edwinlokote,6,2,MX,False
317,Michael Reinboth,compost,77140,1567,DE,True
165675339,- -,Bernie,1329,1,BR,False
46268754,,DumontDumont,6528,9,SE,False
15335764,Yan  De Mol,Yan De Mol,6318,28,HU,False
68682070,,Caleb Belkin,25153,34,,True
25952603,,coezga5,8,1,,False
65143138,@tsukiuk,Tsuki,39266,99,,True
13762931,,Yumi And The Weather,1755,37,GB,False
287703414,@wavguide,Wav Guide,7823,59,,False
375,Future Classic,future classic,565828,715,,True
34996601,,Graamz Instrumentals,1403,34,US,False
66453888,,PONA,1567,4,,False
2752899,Kevin Garrett,Kevin Garrett,15386,47,US,True
217317781,Barky Alexander,BarkyTheDog ( X_liso ),1178,82,AU,False
128450990,,NoFace Records,6502,330,US,True
2884015,Damian Marley,Damian Marley,3467325,142,JM,True
